Annotation	Gene-Symbol
Pro-angiogenic-TAMs-Human-TF	BACH1
Pro-angiogenic-TAMs-Human-TF	CEBPB
Pro-angiogenic-TAMs-Human-TF	FOSL2
Pro-angiogenic-TAMs-Human-TF	HIF1A
Pro-angiogenic-TAMs-Human-TF	KLF5
Pro-angiogenic-TAMs-Human-TF	MAF
Pro-angiogenic-TAMs-Human-TF	NFKB1
Pro-angiogenic-TAMs-Human-TF	NR1H3
Pro-angiogenic-TAMs-Human-TF	RUNX1
Pro-angiogenic-TAMs-Human-TF	SPIC
Pro-angiogenic-TAMs-Human-TF	TEAD1
Pro-angiogenic-TAMs-Human-TF	ZEB2
Regulatory-TAMs-Human-FunctionalSig	CCL2
Regulatory-TAMs-Human-FunctionalSig	CD274
Regulatory-TAMs-Human-FunctionalSig	CD40
Regulatory-TAMs-Human-FunctionalSig	CD80
Regulatory-TAMs-Human-FunctionalSig	CD86
Regulatory-TAMs-Human-FunctionalSig	CHIT1
Regulatory-TAMs-Human-FunctionalSig	CX3CR1
Regulatory-TAMs-Human-FunctionalSig	HLA-A
Regulatory-TAMs-Human-FunctionalSig	HLA-C
Regulatory-TAMs-Human-FunctionalSig	HLA-DQA1
Regulatory-TAMs-Human-FunctionalSig	HLA-DQB1
Regulatory-TAMs-Human-FunctionalSig	HLA-DRA
Regulatory-TAMs-Human-FunctionalSig	HLA-DRB1
Regulatory-TAMs-Human-FunctionalSig	HLA-DRB5
Regulatory-TAMs-Human-FunctionalSig	ICOSLG
Regulatory-TAMs-Human-FunctionalSig	IL10
Regulatory-TAMs-Human-FunctionalSig	ITGA4
Regulatory-TAMs-Human-FunctionalSig	LGALS9
Regulatory-TAMs-Human-FunctionalSig	MACROD2
Regulatory-TAMs-Human-FunctionalSig	MRC1
Regulatory-TAMs-Human-FunctionalSig	TGFB2
Prolif-TAMs-Human-FunctionalSig	CCNA2
Prolif-TAMs-Human-FunctionalSig	CDC45
Prolif-TAMs-Human-FunctionalSig	CDK1
Prolif-TAMs-Human-FunctionalSig	H2AFX
Prolif-TAMs-Human-FunctionalSig	HIST1H4C
Prolif-TAMs-Human-FunctionalSig	HMGB1
Prolif-TAMs-Human-FunctionalSig	HMGN2
Prolif-TAMs-Human-FunctionalSig	MKI67
Prolif-TAMs-Human-FunctionalSig	RRM2
Prolif-TAMs-Human-FunctionalSig	STMN1
Prolif-TAMs-Human-FunctionalSig	TOP2A
Prolif-TAMs-Human-FunctionalSig	TUBA1B
Prolif-TAMs-Human-FunctionalSig	TUBB
Prolif-TAMs-Human-FunctionalSig	TYMP
Prolif-TAMs-Human-TF	E2F1
Prolif-TAMs-Human-TF	E2F2
Prolif-TAMs-Human-TF	E2F3
Prolif-TAMs-Human-TF	E2F4
Prolif-TAMs-Human-TF	E2F5
Prolif-TAMs-Human-TF	E2F6
Prolif-TAMs-Human-TF	E2F7
Prolif-TAMs-Human-TF	E2F8
Kupffer-cell-like-in-Human-SingleCellSig	C1QA
Kupffer-cell-like-in-Human-SingleCellSig	C1QB
Kupffer-cell-like-in-Human-SingleCellSig	C1QC
Kupffer-cell-like-in-Human-SingleCellSig	CCL7
Kupffer-cell-like-in-Human-SingleCellSig	CD163
Kupffer-cell-like-in-Human-SingleCellSig	CD5L
Kupffer-cell-like-in-Human-SingleCellSig	CD74
Kupffer-cell-like-in-Human-SingleCellSig	CETP
Kupffer-cell-like-in-Human-SingleCellSig	FOLR2
Kupffer-cell-like-in-Human-SingleCellSig	HLA-DPA1
Kupffer-cell-like-in-Human-SingleCellSig	HLA-DPB1
Kupffer-cell-like-in-Human-SingleCellSig	HLA-DRB1
Kupffer-cell-like-in-Human-SingleCellSig	MACROD2
Kupffer-cell-like-in-Human-SingleCellSig	MAF
Kupffer-cell-like-in-Human-SingleCellSig	MS4A7
Kupffer-cell-like-in-Human-SingleCellSig	SLC40A1
Kupffer-cell-like-in-Human-SingleCellSig	VCAM1
Kupffer-cell-like-in-Human-SingleCellSig	VSIG4
Kupffer-cell-like-in-Human-FlowSort	CD68
Kupffer-cell-like-in-Human-FlowSort	MRC1
Kupffer-cell-like-in-Human-FlowSort	MACROD2
Alveolar-RTM-like-in-Human-SingleCellSig	CCL18
Alveolar-RTM-like-in-Human-SingleCellSig	CCL23
Alveolar-RTM-like-in-Human-SingleCellSig	CD52
Alveolar-RTM-like-in-Human-SingleCellSig	FABP4
Alveolar-RTM-like-in-Human-SingleCellSig	FBP1
Alveolar-RTM-like-in-Human-SingleCellSig	LGALS3
Alveolar-RTM-like-in-Human-SingleCellSig	MACROD2
Alveolar-RTM-like-in-Human-SingleCellSig	MCEMP1
Alveolar-RTM-like-in-Human-SingleCellSig	MRC1
Alveolar-RTM-like-in-Human-SingleCellSig	MSR1
Alveolar-RTM-like-in-Human-SingleCellSig	PPARG
Alveolar-RTM-like-in-Human-SingleCellSig	RBP4
Microglia-like-in-Human-SingleCellSig	BIN1
Microglia-like-in-Human-SingleCellSig	C1QC
Microglia-like-in-Human-SingleCellSig	CX3CR1
