term	name
Tumor_Derived_perCellType_HSC-like	PDZRN4
Tumor_Derived_perCellType_HSC-like	ST3GAL1
Tumor_Derived_perCellType_HSC-like	XIRP2
Tumor_Derived_perCellType_HSC-like	RBPMS
Tumor_Derived_perCellType_HSC-like	TMEM25
Tumor_Derived_perCellType_HSC-like	C20orf203
Tumor_Derived_perCellType_HSC-like	GNG11
Tumor_Derived_perCellType_HSC-like	SLC6A13
Tumor_Derived_perCellType_HSC-like	HOPX
Tumor_Derived_perCellType_HSC-like	CMTM2
Tumor_Derived_perCellType_HSC-like	HIST1H2BK
Tumor_Derived_perCellType_HSC-like	NPDC1
Tumor_Derived_perCellType_HSC-like	SCRN1
Tumor_Derived_perCellType_HSC-like	MECOM
Tumor_Derived_perCellType_HSC-like	CXCL2
Tumor_Derived_perCellType_HSC-like	CCS
Tumor_Derived_perCellType_HSC-like	FAM74A4
Tumor_Derived_perCellType_HSC-like	UMODL1-AS1
Tumor_Derived_perCellType_HSC-like	CCDC18-AS1
Tumor_Derived_perCellType_HSC-like	TTLL10
Tumor_Derived_perCellType_HSC-like	CFAP61
Tumor_Derived_perCellType_HSC-like	PLCB4
Tumor_Derived_perCellType_HSC-like	SPON1
Tumor_Derived_perCellType_HSC-like	LINC01770
Tumor_Derived_perCellType_HSC-like	CACNB4
Tumor_Derived_perCellType_HSC-like	CCDC144NL-AS1
Tumor_Derived_perCellType_HSC-like	RNF217
Tumor_Derived_perCellType_HSC-like	ZPBP
Tumor_Derived_perCellType_HSC-like	MPPED2
Tumor_Derived_perCellType_Progenitor-like	CDK6
Tumor_Derived_perCellType_Progenitor-like	HSP90AB1
Tumor_Derived_perCellType_Progenitor-like	SPINK2
Tumor_Derived_perCellType_Progenitor-like	EEF1B2
Tumor_Derived_perCellType_Progenitor-like	PCNP
Tumor_Derived_perCellType_Progenitor-like	TAPT1-AS1
Tumor_Derived_perCellType_Progenitor-like	HINT1
Tumor_Derived_perCellType_Progenitor-like	LRRC75A-AS1
Tumor_Derived_perCellType_Progenitor-like	DSE
Tumor_Derived_perCellType_Progenitor-like	PEBP1
Tumor_Derived_perCellType_Progenitor-like	LOC107984974
Tumor_Derived_perCellType_Progenitor-like	H2AFY
Tumor_Derived_perCellType_Progenitor-like	EEF1A1
Tumor_Derived_perCellType_Progenitor-like	SMIM24
Tumor_Derived_perCellType_Progenitor-like	PSME1
Tumor_Derived_perCellType_Progenitor-like	SOX4
Tumor_Derived_perCellType_Progenitor-like	LINC01623
Tumor_Derived_perCellType_Progenitor-like	EEF1G
Tumor_Derived_perCellType_Progenitor-like	EBPL
Tumor_Derived_perCellType_Progenitor-like	EIF4B
Tumor_Derived_perCellType_Progenitor-like	PARP1
Tumor_Derived_perCellType_Progenitor-like	MEST
Tumor_Derived_perCellType_Progenitor-like	TMEM70
Tumor_Derived_perCellType_Progenitor-like	TFDP2
Tumor_Derived_perCellType_Progenitor-like	ATP5G2
Tumor_Derived_perCellType_Progenitor-like	NAP1L1
Tumor_Derived_perCellType_Progenitor-like	MSI2
Tumor_Derived_perCellType_Progenitor-like	TPM4
Tumor_Derived_perCellType_Progenitor-like	SPN
Tumor_Derived_perCellType_Progenitor-like	SELL
Tumor_Derived_perCellType_Progenitor-like	RACK1
